"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","15","4.1","0.11","0","15","0","0"
"1","1","1","0","0","15","4","0.11","0","15","0","0"
"1","1","2","0","0","15","3.8","0.11","0","15","0","0"
"1","1","3","0","0","14","3.7","0.11","0","14","0","0"
"1","1","4","0","0","14","3.5","0.11","0","14","0","0"
"1","1","5","0","0","14","3.4","0.11","0","14","0","0"
"1","1","6","0","0","14","3.6","0.11","0","14","0","0"
"1","1","7","435","32","16","4.1","0.11","224.654","20.356","1528.359","1442.494"
"1","1","8","101","113","18","4.2","0.11","189.28","21.714","1399.692","1318.387"
"1","1","9","831","72","20","3.7","0.11","733.203","35.508","5319.856","5099.644"
"1","1","10","386","202","21","3","0.11","577.194","34.599","4145.865","3967.252"
"1","1","11","945","71","22","2.5","0.11","969.511","46.969","6639.937","6372.949"
"1","1","12","355","230","23","2","0.11","600.312","39.989","4205.336","4024.616"
"1","1","13","905","70","23","1.6","0.11","860.687","49.591","5866.84","5627.246"
"1","1","14","307","151","22","1","0.11","402.523","36.326","2877.58","2743.907"
"1","1","15","696","50","20","0.6","0.11","452.536","37.951","3239.452","3092.957"
"1","1","16","333","20","17","0.9","0.11","142.928","21.245","606.853","553.641"
"1","1","17","0","0","16","1.4","0.11","0","16","0","0"
"1","1","18","0","0","15","1.6","0.11","0","15","0","0"
"1","1","19","0","0","15","1.7","0.11","0","15","0","0"
"1","1","20","0","0","15","1.8","0.11","0","15","0","0"
"1","1","21","0","0","15","2","0.11","0","15","0","0"
"1","1","22","0","0","15","2.1","0.11","0","15","0","0"
"1","1","23","0","0","15","2.1","0.11","0","15","0","0"
"1","2","0","0","0","14","2.1","0.11","0","14","0","0"
"1","2","1","0","0","14","2.1","0.11","0","14","0","0"
"1","2","2","0","0","14","2.1","0.11","0","14","0","0"
"1","2","3","0","0","14","2.2","0.11","0","14","0","0"
"1","2","4","0","0","14","2.4","0.11","0","14","0","0"
"1","2","5","0","0","14","2.6","0.11","0","14","0","0"
"1","2","6","0","0","14","3","0.11","0","14","0","0"
"1","2","7","81","39","16","3.7","0.11","79.567","17.64","531.802","481.249"
"1","2","8","734","57","19","4.2","0.11","517.684","29.191","3855.944","3687.604"
"1","2","9","852","70","20","3.9","0.11","746.003","35.318","5417.081","5193.424"
"1","2","10","901","79","21","3.2","0.11","889.965","41.323","6262.379","6008.77"
"1","2","11","924","81","22","2.5","0.11","963.074","46.801","6598.663","6333.137"
"1","2","12","359","230","23","2","0.11","604.155","40.098","4230.451","4048.841"
"1","2","13","900","74","22","1.6","0.11","862.659","48.65","5901.727","5660.897"
"1","2","14","827","67","21","1.3","0.11","693.39","43.975","4871.569","4667.241"
"1","2","15","679","53","19","1.2","0.11","447.943","34.195","3255.053","3108.005"
"1","2","16","310","22","17","1.5","0.11","141.815","20.652","606.203","553.014"
"1","2","17","0","0","16","1.6","0.11","0","16","0","0"
"1","2","18","0","0","15","1.7","0.11","0","15","0","0"
"1","2","19","0","0","15","1.6","0.11","0","15","0","0"
"1","2","20","0","0","15","1.6","0.11","0","15","0","0"
"1","2","21","0","0","15","1.6","0.11","0","15","0","0"
"1","2","22","0","0","15","1.5","0.11","0","15","0","0"
"1","2","23","0","0","15","1.5","0.11","0","15","0","0"
"1","3","0","0","0","15","1.4","0.11","0","15","0","0"
"1","3","1","0","0","16","1.3","0.11","0","16","0","0"
"1","3","2","0","0","16","1.2","0.11","0","16","0","0"
"1","3","3","0","0","16","1.2","0.11","0","16","0","0"
"1","3","4","0","0","16","1.4","0.11","0","16","0","0"
"1","3","5","0","0","16","1.6","0.11","0","16","0","0"
"1","3","6","0","0","16","1.7","0.11","0","16","0","0"
"1","3","7","44","38","17","2.1","0.11","63.782","18.734","421.662","375.012"
"1","3","8","153","112","19","2.5","0.11","218.218","24.623","1606.143","1517.523"
"1","3","9","838","67","21","2.4","0.11","731.158","40.229","5207.272","4991.05"
"1","3","10","887","76","23","1.5","0.11","873.927","50.596","5921.124","5679.606"
"1","3","11","400","225","24","0.9","0.11","638.719","47.254","4345.483","4159.796"
"1","3","12","906","80","24","0.7","0.11","939.054","60.139","6083.912","5836.627"
"1","3","13","881","75","24","0.9","0.11","848.971","55.005","5653.815","5421.769"
"1","3","14","290","155","23","0.9","0.11","395.888","37.454","2814.2","2682.773"
"1","3","15","677","52","21","0.9","0.11","447.051","37.35","3208.393","3062.998"
"1","3","16","315","22","18","1.2","0.11","144.732","22","616.375","562.825"
"1","3","17","0","0","16","1.6","0.11","0","16","0","0"
"1","3","18","0","0","16","1.8","0.11","0","16","0","0"
"1","3","19","0","0","16","1.9","0.11","0","16","0","0"
"1","3","20","0","0","16","1.9","0.11","0","16","0","0"
"1","3","21","0","0","16","1.9","0.11","0","16","0","0"
"1","3","22","0","0","15","1.9","0.11","0","15","0","0"
"1","3","23","0","0","15","1.9","0.11","0","15","0","0"
"1","4","0","0","0","15","1.9","0.11","0","15","0","0"
"1","4","1","0","0","16","1.9","0.11","0","16","0","0"
"1","4","2","0","0","16","1.9","0.11","0","16","0","0"
"1","4","3","0","0","15","2","0.11","0","15","0","0"
"1","4","4","0","0","15","2.1","0.11","0","15","0","0"
"1","4","5","0","0","15","2.1","0.11","0","15","0","0"
"1","4","6","0","0","15","2.3","0.11","0","15","0","0"
"1","4","7","489","29","17","3.2","0.11","235.816","22.234","1585.594","1497.701"
"1","4","8","764","52","20","4.2","0.11","527.796","30.391","3915.129","3744.692"
"1","4","9","877","63","22","4.2","0.11","748.426","36.723","5406.914","5183.617"
"1","4","10","933","68","23","3.7","0.11","903.653","42.083","6339.693","6083.344"
"1","4","11","951","72","24","3","0.11","977.435","47.053","6689.094","6420.364"
"1","4","12","944","74","24","2.3","0.11","967.193","49.86","6545.779","6282.128"
"1","4","13","916","70","24","1.7","0.11","873.503","50.403","5930.802","5688.942"
"1","4","14","847","64","23","1.1","0.11","706.82","47.579","4892.321","4687.258"
"1","4","15","704","51","21","0.9","0.11","461.956","37.897","3311.348","3162.305"
"1","4","16","343","22","19","1.2","0.11","155.359","23.449","707.945","651.151"
"1","4","17","0","0","17","1.6","0.11","0","17","0","0"
"1","4","18","0","0","16","1.8","0.11","0","16","0","0"
"1","4","19","0","0","16","1.9","0.11","0","16","0","0"
"1","4","20","0","0","16","1.9","0.11","0","16","0","0"
"1","4","21","0","0","16","2","0.11","0","16","0","0"
"1","4","22","0","0","16","2","0.11","0","16","0","0"
"1","4","23","0","0","16","2","0.11","0","16","0","0"
"1","5","0","0","0","16","1.9","0.11","0","16","0","0"
"1","5","1","0","0","16","1.9","0.11","0","16","0","0"
"1","5","2","0","0","16","1.9","0.11","0","16","0","0"
"1","5","3","0","0","15","1.9","0.11","0","15","0","0"
"1","5","4","0","0","15","1.9","0.11","0","15","0","0"
"1","5","5","0","0","15","1.8","0.11","0","15","0","0"
"1","5","6","0","0","15","1.8","0.11","0","15","0","0"
"1","5","7","23","37","17","1.8","0.11","48.214","18.394","315.733","272.837"
"1","5","8","120","113","19","2.2","0.11","199.701","24.444","1464.573","1380.969"
"1","5","9","836","72","20","2.3","0.11","734.841","39.694","5243.456","5025.951"
"1","5","10","900","77","21","1.6","0.11","886.355","48.371","6059.597","5813.173"
"1","5","11","915","82","22","0.9","0.11","957.171","56.913","6283.212","6028.865"
"1","5","12","384","227","23","0.4","0.11","624.068","49.12","4211.361","4030.427"
"1","5","13","874","81","23","0.2","0.11","860.772","61.435","5569.543","5340.483"
"1","5","14","802","73","22","0.3","0.11","686.612","51.765","4666.384","4469.327"
"1","5","15","658","57","21","0.3","0.11","448.286","40.43","3177.226","3032.936"
"1","5","16","348","23","19","0.4","0.11","159.422","24.839","774.264","715.12"
"1","5","17","0","0","17","0.6","0.11","0","17","0","0"
"1","5","18","0","0","16","0.8","0.11","0","16","0","0"
"1","5","19","0","0","16","1","0.11","0","16","0","0"
"1","5","20","0","0","15","1.2","0.11","0","15","0","0"
"1","5","21","0","0","15","1.3","0.11","0","15","0","0"
"1","5","22","0","0","15","1.4","0.11","0","15","0","0"
"1","5","23","0","0","15","1.4","0.11","0","15","0","0"
"1","6","0","0","0","15","1.4","0.11","0","15","0","0"
"1","6","1","0","0","15","1.5","0.11","0","15","0","0"
"1","6","2","0","0","15","1.4","0.11","0","15","0","0"
"1","6","3","0","0","15","1.2","0.11","0","15","0","0"
"1","6","4","0","0","15","1.1","0.11","0","15","0","0"
"1","6","5","0","0","15","1.1","0.11","0","15","0","0"
"1","6","6","0","0","15","1.1","0.11","0","15","0","0"
"1","6","7","421","31","16","1.2","0.11","214.743","23.067","1434.487","1351.949"
"1","6","8","708","58","18","1.1","0.11","500.417","35.407","3635.19","3474.672"
"1","6","9","829","71","19","0.8","0.11","727.914","46.329","5055.511","4844.666"
"1","6","10","893","77","20","0.9","0.11","880.277","52.136","5923.755","5682.144"
"1","6","11","915","81","21","1.3","0.11","956.386","52.593","6394.623","6136.328"
"1","6","12","391","227","21","1.6","0.11","630.735","40.423","4412.45","4224.391"
"1","6","13","876","80","20","1.9","0.11","862.432","44.986","5984.085","5740.337"
"1","6","14","808","71","19","1.8","0.11","689.927","39.446","4933.666","4727.138"
"1","6","15","667","56","18","1.4","0.11","449.776","32.557","3292.632","3144.253"
"1","6","16","292","25","16","1","0.11","143.877","20.578","751.409","693.075"
"1","6","17","0","0","15","0.6","0.11","0","15","0","0"
"1","6","18","0","0","14","0.4","0.11","0","14","0","0"
"1","6","19","0","0","14","0.6","0.11","0","14","0","0"
"1","6","20","0","0","14","1","0.11","0","14","0","0"
"1","6","21","0","0","13","1.2","0.11","0","13","0","0"
"1","6","22","0","0","13","1.3","0.11","0","13","0","0"
"1","6","23","0","0","12","1.4","0.11","0","12","0","0"
"1","7","0","0","0","12","1.4","0.11","0","12","0","0"
"1","7","1","0","0","11","1.5","0.11","0","11","0","0"
"1","7","2","0","0","11","1.5","0.11","0","11","0","0"
"1","7","3","0","0","10","1.5","0.11","0","10","0","0"
"1","7","4","0","0","10","1.4","0.11","0","10","0","0"
"1","7","5","0","0","10","1.3","0.11","0","10","0","0"
"1","7","6","0","0","10","1.8","0.11","0","10","0","0"
"1","7","7","0","35","12","2.6","0.11","33.501","12.83","222.55","182.955"
"1","7","8","81","113","13","2.8","0.11","167.069","17.077","1252.135","1176.059"
"1","7","9","174","183","15","2.5","0.11","337.487","23.686","2512.057","2391.337"
"1","7","10","158","237","16","2.4","0.11","404.866","26.593","2967.305","2830.454"
"1","7","11","144","265","17","2.6","0.11","433.029","27.909","3147.835","3004.586"
"1","7","12","61","247","17","2.6","0.11","317.011","24.98","2308.746","2195.229"
"1","7","13","258","225","16","2.5","0.11","489.152","28.575","3581.6","3422.982"
"1","7","14","275","162","15","2.2","0.11","394.748","25.765","2936.464","2800.705"
"1","7","15","635","61","14","1.5","0.11","442.752","28.006","3297.668","3149.11"
"1","7","16","230","29","12","0.9","0.11","127.907","16.258","711.691","654.765"
"1","7","17","0","0","11","0.7","0.11","0","11","0","0"
"1","7","18","0","0","11","0.9","0.11","0","11","0","0"
"1","7","19","0","0","11","1","0.11","0","11","0","0"
"1","7","20","0","0","11","0.9","0.11","0","11","0","0"
"1","7","21","0","0","11","1","0.11","0","11","0","0"
"1","7","22","0","0","11","1.3","0.11","0","11","0","0"
"1","7","23","0","0","11","1.5","0.11","0","11","0","0"
"1","8","0","0","0","11","1.7","0.11","0","11","0","0"
"1","8","1","0","0","11","2.1","0.11","0","11","0","0"
"1","8","2","0","0","12","2.5","0.11","0","12","0","0"
"1","8","3","0","0","12","2.9","0.11","0","12","0","0"
"1","8","4","0","0","11","3.1","0.11","0","11","0","0"
"1","8","5","0","0","11","3.2","0.11","0","11","0","0"
"1","8","6","0","0","11","3.3","0.11","0","11","0","0"
"1","8","7","81","38","13","3.5","0.11","83.957","14.783","567.637","515.815"
"1","8","8","199","110","15","4.1","0.11","251.275","20.005","1893.793","1794.98"
"1","8","9","898","63","17","4.8","0.11","762.52","30.838","5635.206","5403.82"
"1","8","10","945","71","18","5","0.11","918.021","34.211","6639.887","6372.9"
"1","8","11","960","76","19","4.9","0.11","992.868","36.74","7076.129","6666.667"
"1","8","12","417","223","19","4.6","0.11","667.039","31.369","4837.134","4634.027"
"1","8","13","918","75","19","4.1","0.11","886.532","36.659","6358.454","6101.44"
"1","8","14","852","68","18","3.2","0.11","721.066","34.497","5258.082","5040.059"
"1","8","15","718","54","16","1.7","0.11","478.366","30.485","3536.807","3379.776"
"1","8","16","366","26","14","0.9","0.11","172.887","19.817","987.086","920.401"
"1","8","17","0","0","13","0.9","0.11","0","13","0","0"
"1","8","18","0","0","13","1.1","0.11","0","13","0","0"
"1","8","19","0","0","13","1.2","0.11","0","13","0","0"
"1","8","20","0","0","13","1.2","0.11","0","13","0","0"
"1","8","21","0","0","13","1.2","0.11","0","13","0","0"
"1","8","22","0","0","13","1.2","0.11","0","13","0","0"
"1","8","23","0","0","13","1.2","0.11","0","13","0","0"
"1","9","0","0","0","12","1.2","0.11","0","12","0","0"
